TMO                    Turkiska  Meschidie-orden
TO                       Templarorden
TOO                     Turkiska Osmanié-orden
TR                       Tempelriddare
TRKHt               Tyska Röda Korsets hederstecken
TSO                     Teaterorden T. S. O.
TunNI                 Tunisiska orden Nichan-Iftikhar
T(ysk)OlHt        Tyska olympiska hederstecknet
TyskÖO               Tyska Örnens orden
UMM                   Ungersk minnesmedalj
UngFK                Ungerska Förtjänstkorset
UngFO                Ungerska Förtjänst-orden
UngKrMM          Ungersk krigsminnesmedalj
ÖFO                     Österrikiska Förtjänstorden
ÖFrJO                 Österrikiska Franz Joseph-orden
ÖHT                    Österrikiska Hederstecknet
ÖJkrO                 Österrikiska Järnkroneorden
ÖLeopO               Österrikiska Leopoldorden
ÖRKHt               Österrikiska Röda Korsets hederstecken
K                         Kommendör
R                         Riddare
StOff                   Storofficer
Off                       Officer
Stk                       Storkors
mbr                     med briljanter
mkr                     med kraschan
mkrgd                 med krigsdekoration
mstk                    med stora korset
msv                      med svärd
